Date and Time,Configuration,Temperature,Reasoning,Prompt,Answer Relevancy (Avg),Correctness (Avg),Faithfulness (Avg),Hallucination (Avg),Specific Information Accuracy (Avg),Answer Relevancy (GPT-4o),Answer Relevancy (Sonnet3.5),Correctness (GPT-4o),Correctness (Sonnet3.5),Faithfulness (GPT-4o),Faithfulness (Sonnet3.5),Hallucination (GPT-4o),Hallucination (Sonnet3.5),Specific Information Accuracy (GPT-4o),Specific Information Accuracy (Sonnet3.5)
2025-03-12 14:12:41,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,current_user_template.txt,61.54,73.08,91.03,70.52,66.66,51.28,71.79,71.79,74.36,89.74,92.31,56.41,84.62,69.23,64.1
2025-03-12 14:23:47,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,previous_user_template.txt,65.38,74.36,92.31,57.69,75.64,66.67,64.1,69.23,79.49,92.31,92.31,43.59,71.79,79.49,71.79
2025-03-12 14:34:26,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,current_user_template.txt,61.54,71.8,94.88,69.23,70.52,56.41,66.67,69.23,74.36,92.31,97.44,53.85,84.62,74.36,66.67
2025-03-12 14:44:51,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,previous_user_template.txt,64.1,76.92,91.03,58.97,80.77,64.1,64.1,71.79,82.05,87.18,94.87,46.15,71.79,82.05,79.49
2025-03-12 14:55:36,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,current_user_template.txt,56.41,65.38,93.59,70.52,67.94,53.85,58.97,58.97,71.79,92.31,94.87,56.41,84.62,71.79,64.1
2025-03-12 15:08:07,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,previous_user_template.txt,56.41,74.36,92.31,61.54,78.2,51.28,61.54,64.1,84.62,92.31,92.31,48.72,74.36,76.92,79.49
2025-03-12 15:18:43,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,current_user_template.txt,60.26,78.2,92.31,67.95,71.8,53.85,66.67,74.36,82.05,94.87,89.74,51.28,84.62,69.23,74.36
2025-03-12 15:29:08,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,previous_user_template.txt,58.97,73.08,92.31,67.95,79.48,53.85,64.1,61.54,84.62,92.31,92.31,56.41,79.49,82.05,76.92
2025-03-12 15:40:32,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,current_user_template.txt,57.7,66.66,87.18,69.23,74.36,61.54,53.85,69.23,64.1,84.62,89.74,64.1,74.36,79.49,69.23
2025-03-12 15:51:42,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,previous_user_template.txt,66.66,62.82,89.74,67.94,74.36,64.1,69.23,56.41,69.23,89.74,89.74,64.1,71.79,82.05,66.67
2025-03-12 16:27:14,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_chain_of_thought.txt,51.28,58.97,88.46,70.52,62.82,46.15,56.41,46.15,71.79,89.74,87.18,56.41,84.62,64.1,61.54
2025-03-12 16:49:11,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_rtf.txt,55.12,69.23,87.18,71.8,61.54,51.28,58.97,61.54,76.92,84.62,89.74,61.54,82.05,56.41,66.67
2025-03-12 17:40:13,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_chain_of_density.txt,69.23,38.47,96.16,73.08,52.56,69.23,69.23,35.9,41.03,97.44,94.87,61.54,84.62,53.85,51.28
